system_id,sentence
1,都第集了，
1,竟然沒人開這檔閒聊，
1,這是部顛覆的都市情感劇，
1,沒有白富美的女，
1,也沒有高富帥的男，
1,也沒有悲催的北上廣生活
1,以女二何小雨躺平族的視角，
1,來描述女何大雨人生受挫失業的生活，
1,女辣目洋子充分運用她特有的美感，
1,以及詼諧的演技演繹出北漂族的另外種酸甜甘苦，
1,讓人緩緩地感受到療癒
1,這齣無疑應該也是今年黑馬劇王候選之
2,因為在滑到沒有工作的年給打工人的大金句
2,才開始注意到這部陸劇沒有工作的年
2,///
2,總共也才集
2,本來只是打發時間
2,沒想到看著看著就愛上了
2,感覺還能看到點自己工作上的職場寫照
2,女是個很有計劃職場女性
2,///
2,在職場中也想把人生方方面面都顧好
2,想加薪也想升職為了未來也是為了家人
2,愛情方面是會策劃好將未來計畫
2,女二是個現在躺平族
2,///
2,追求理想跟自由的生活與工作
2,不喜歡現在繁忙與內捲的工作環境
2,追尋的自己喜歡的生活
2,雖然性別不同
2,但看完整部劇還是不自覺的跟主角產生共鳴
2,尤其討論到工作跟愛情親情這塊
2,人生三大難題
2,人生沒有絕對的正確答案
2,只有找到自己過得舒服的方式
2,我最愛以下幾個金句
2,不是所有夢想的終點都要變成房子的
2,努力發現生活的美好，人生從來沒有標準答案
2,生活不應該是得過且過，哪怕是白日夢也是人生的種前進方向，畢竟沒有標準的人生
3,備註請放最後面違者新聞文章刪除
3,媒體來源
3,新唐人
3,記者署名
3,羅婷婷
3,完整新聞標題
3,中國人躺平火爆網路當局慌忙喊停
3,完整新聞內文
3,新唐人北京時間年月日訊最近，躺平詞火爆大陸網路，反應出中國年
3,輕人面臨的壓力與困境，以及對中共治下社會現狀的絕望和憤怒
3,面對這種變相的反抗，
3,中共官媒慌忙喊出認命可以躺平不行
3,近日，篇名為躺平即是正義的網路文章，在中國年輕人中間走紅，引發許多人共鳴
3,，躺平詞由此火爆網絡
3,文章中寫道兩年多沒有工作了，都在玩沒覺得哪裡不
3,對，生活壓力主要來自於比較競爭
3,根據中國房地產公司貝殼找房在月日發布的篇報告，房價收入比最高的個城市分別
3,是深圳北京上海，而在深圳居住的普通居民家庭，不吃不喝需要年才能夠買得起
3,套房子
3,據悉，躺平文的作者好心的旅行家每月消費控制在元，年工作至兩個月，
3,主要工作是到橫店影視城躺著，飾演屍體
3,他平日也並非無所事事，會鍛練身體出門旅
3,行，堅持低消費與慢節奏的生活方式
3,這種生活哲學被稱為躺平主義
3,躺平主義迅速在網路蔓延，受到年輕人推崇，他們強調不買房不買車不結婚生子
3,不消費，維持最低生存標準的狀態
3,有人直言，何苦呢
3,付出那麼高的成本，就只能
3,得到跟原來樣，甚至更差的體驗
3,名中國金融學者對自由亞洲表示，躺平主義背後代表了連串的社會問題，經濟蕭
3,條，就業難，消費日益增加，年輕人難以獲得成功等
3,該學者說，不要結婚生孩子了，哪敢生啊
3,你再怎麼奮鬥也是階層固化，再怎麼奮鬥，
3,無非就是搞個，也就累了
3,然而，這股躺平主義的旋風，很快就成為中共官媒抨擊的對象
3,南方日報發文稱
3,躺平可恥，哪來的正義感
3,呼籲年輕人要奮鬥
3,湖北電視經濟頻道更赤裸裸地威脅認命可以，躺平不行
3,清華大學副教授李鋒亮也為官方帶風向，批評躺平對不起父母對不起納稅人
3,共青
3,團微博月日也發文，號召年輕人不負使命，不負家國，不要躺平
3,金融學者認為，官方如此大做文章，是因為躺平族對於經濟社會發展有很多不利影響
3,消費者是拉動經濟發展個最主要的方面，但年輕人沒錢就不消費，這樣勢必對經濟
3,起不到拉動作用
3,大陸網友對此認識得也很透徹，指中共允許民眾自嘲屌絲韭菜，但不允許說躺平
3,根
3,本原因是躺平承認了遭遇社會不公
